nom;saison;nationalité;age;tailles;poids;Repêché;Salaire;Lancé;Position
Jeff Petry;2020;USA;32;191cm;95 kg;2006 EDM, 2ème rde, 45ème au total;6250000;Droit;Défenseur
Jeff Petry;2021;USA;33;191cm;95 kg;2006 EDM, 2ème rde, 45ème au total;6250000;Droit;Défenseur
Christian Dvorak;2021;USA;25;185cm;91kg;2014 ARI, 2ème rde, 58ème au total;4450000;Gauche;Centre
Mike Hoffman;2021;Canada;31;183cm;83 kg;2009 OTT, 5ème rde, 129ème au total;4500000;Gauche;Attaquant
Cole Caufield;2021;USA;29;170cm;75kg;2019 MTL, 1er rde, 15ème au total;880833;Droit;Attaquant
Brett Kulak;2021;Canada;27;185cm;89 kg;2012 CGY, 4ème rde, 105ème au total;1850000;Gauche;Défenseur
Brett Kulak;2020;Canada;26;185cm;89 kg;2012 CGY, 4ème rde, 105ème au total;1850000;Gauche;Défenseur
Artturi Lehkonen;2021;Finlande;26;180cm;81 kg;2013 MTL, 2ème rde, 55ème au total;2300000;Gauche;Défenseur
Artturi Lehkonen;2020;Finlande;25;180cm;81 kg;2013 MTL, 2ème rde, 55ème au total;2400000;Gauche;Défenseur
Mathieu Perreault;2021;Canada;33;178cm;86kg;2006 WSH, 6ème rde, 177ème au total;950000;Gauche;Centre
Jonathan Drouin;2021;Canada;26;183cm;92 kg;2013 TBL, 1er rde, 3ème au total;5500000;Gauche;Attaquant
Jonathan Drouin;2020;Canada;25;183cm;92 kg;2013 TBL, 1er rde, 3ème au total;5500000;Gauche;Attaquant
Nick Suzuki;2021;Canada;22;180cm;93 kg;2017 VGK, 1er rde, 13ème au total;863333;Droit;Centre
Nick Suzuki;2020;Canada;21;180cm;93 kg;2017 VGK, 1er rde, 13ème au total;863333;Droit;Centre
Paul Byron;2021;Canada;32;175cm;72 kg;2007 BUF, 6ème rde, 179ème au total;3400000;Gauche;Attaquant
Paul Byron;2020;Canada;31;175cm;72 kg;2007 BUF, 6ème rde, 179ème au total;3400000;Gauche;Attaquant
Tyler Toffoli;2021;Canada;29;183cm;89 kg;2010 LAK, 2ème rde, 47ème au total;4250000;Droit;Attaquant
Tyler Toffoli;2020;Canada;28;183cm;89 kg;2010 LAK, 2ème rde, 47ème au total;4250000;Droit;Attaquant
Jake Evans;2021;Canada;25;183cm;80 kg;2014 MTL, 7ème rde, 207ème au total;750000;Droit;Centre
Jake Evans;2020;Canada;24;183cm;80 kg;2014 MTL, 7ème rde, 207ème au total;750000;Droit;Centre
Joel Armia;2021;Finlande;28;191cm;99 kg;2011 BUF, 1er rde, 16ème au total;3400000;Droit;Attaquant
Joel Armia;2020;Finlande;27;191cm;99 kg;2011 BUF, 1er rde, 16ème au total;2600000;Droit;Attaquant
Brendan Gallagher;2021;Canada;29;175cm;83 kg;2010 MTL, 5ème rde, 147ème au total;6500000;Droit;Attaquant
Brendan Gallagher;2020;Canada;28;175cm;83 kg;2010 MTL, 5ème rde, 147ème au total;3750000;Droit;Attaquant
Joel Edmundson;2021;Canada;28;196cm;102 kg;2011 STL, 2ème rde, 46ème au total;3500000;Gauche;Défenseur
Joel Edmundson;2020;Canada;27;196cm;102 kg;2011 STL, 2ème rde, 46ème au total;3500000;Gauche;Défenseur
Alexander Romanov;2021;Russie;21;185cm;95 kg;2018 MTL, 2ème rde, 38ème au total;894167;Gauche;Défenseur
Alexander Romanov;2020;Russie;20;185cm;95 kg;2018 MTL, 2ème rde, 38ème au total;894167;Gauche;Défenseur
David Savard;2021;Canada;30;185cm;106 kg;2009 CBJ, 4ème rde, 94ème au total;3500000;Droit;Défenseur
Cedric Paquette;2021;Canada;28;183cm;93 kg;2012 TBL, 4ème rde, 101ème au total;950000;Gauche;Attaquant
Ben Chiarot;2021;Canada;30;191cm;106 kg;2009 ATL, 4ème rde, 119ème au total;3500000;Gauche;Défenseur
Ben Chiarot;2020;Canada;29;191cm;106 kg;2009 ATL, 4ème rde, 119ème au total;3500000;Gauche;Défenseur
Josh Anderson;2021;Canada;27;191cm;103 kg;2012 CBJ, 4ème rde, 95ème au total;5500000;Droit;Attaquant
Josh Anderson;2020;Canada;26;191cm;103 kg;2012 CBJ, 4ème rde, 95ème au total;5500000;Droit;Attaquant
Jesperi Kotkaniemi;2020;Finlande;21;188cm;91kg;2018 MTL, 1er rde, 3ème au total;925000;Gauche;Centre
Tomas Tatar;2020;Slovaquie;30;178cm;78 kg;2009 DET, 2ème rde, 60ème au total;5300000;Gauche;Attaquant
Xavier Ouellet;2020;Canada;28;183cm;89 kg;2011 DET, 2ème rde, 48ème au total;737500;Gauche;Défenseur
Phillip Danault;2020;Canada;28;185cm;91 kg;2011 CHI, 1er rde, 26ème au total;3083333;Gauche;Centre
Corey Perry;2020;Canada;36;191cm;93 kg;2003 ANA, 1er rde, 28ème au total;750000;Droit;Attaquant
Shea Weber;2020;Canada;36;193cm;104 kg;2003 NSH, 2ème rde, 49ème au total;7857143;Droit;Défenseur
