season,name,shooting_score,passing_score,physical_score,exp_score,defending_score
2020,Josh Anderson,79,30,92,52,45
2019,Josh Anderson,44,29,90,47,73
2020,Ben Chiarot,20,33,89,63,53
2019,Ben Chiarot,42,39,87,58,54
2019,Joel Edmundson,39,42,87,54,62
2020,Cedric Paquette,58,26,79,56,62
2019,Joel Armia,80,52,76,46,47
2019,Shea Weber,56,71,75,96,59
2020,David Savard,17,28,75,82,76
2020,Alexander Romanov,10,20,74,17,20
2020,Joel Edmundson,27,43,74,61,49
2019,Jeff Petry,47,82,71,88,34
2019,Corey Perry,46,62,70,93,41
2019,Phillip Danault,74,87,69,54,56
2020,Jeff Petry,58,88,65,91,31
2019,Xavier Ouellet,6,52,65,33,48
2020,Brendan Gallagher,90,60,63,78,52
2019,Tomas Tatar,85,91,62,74,47
2020,Joel Armia,58,40,61,50,44
2020,Jake Evans,37,45,61,17,48
2019,Artturi Lehkonen,69,44,61,53,64
2020,Tyler Toffoli,94,68,61,75,24
2020,Paul Byron,52,51,59,66,50
2019,Brendan Gallagher,86,73,58,75,62
2020,Nick Suzuki,78,83,57,31,45
2019,Jesperi Kotkaniemi,61,19,56,25,20
2019,Jonathan Drouin,71,67,55,59,15
2020,Jonathan Drouin,41,84,54,64,12
2020,Mathieu Perreault,73,40,53,79,33
2020,Artturi Lehkonen,58,32,48,58,55
2019,Paul Byron,72,48,41,62,65
2020,Brett Kulak,19,28,41,46,30
2019,Brett Kulak,12,25,39,40,28
2019,Tyler Toffoli,84,63,32,70,37
2019,Jake Evans,63,21,29,1,46
2020,Christian Dvorak,90,58,28,53,74
2019,Nick Suzuki,64,78,22,19,34
2020,Mike Hoffman,84,78,22,73,20
2020,Cole Caufield,83,23,13,1,20
